Target,Modelo,Validacion,MAE,MSE,RMSE,R²,MedAE,MaxErr,MAPE %,EVS,Gap_%,Dx
Volumen Tumoral,GradientBoosting (log),KFold,3521.2434,116680373.5626,10801.869,0.8592,874.4102,120742.4291,16.67,0.8604,39.0,OVERFITTING
Volumen Tumoral,GradientBoosting (log),LOO,3383.001,108854668.8794,10433.3441,0.8686,804.4858,118853.4034,15.88,0.8696,,
Diámetro Eje Corto,GradientBoosting (log),KFold,8.3426,189.0928,13.7511,0.6863,4.1578,84.1218,21.47,0.6912,26.56,OVERFITTING
Diámetro Eje Corto,GradientBoosting (log),LOO,8.396,194.0433,13.9299,0.678,4.096,85.4639,21.17,0.684,,
Diámetro Eje Largo,GradientBoosting (log),KFold,25.446,1377.5908,37.1159,0.4257,16.5976,158.9943,39.61,0.4463,15.49,OVERFITTING
Diámetro Eje Largo,GradientBoosting (log),LOO,25.2218,1361.2204,36.8947,0.4325,15.7096,154.6279,38.83,0.4527,,
